ref_area,measure,year,value
KOR,PR_INC_MRKT,2018,20.2
KOR,PR_INC_MRKT,2017,19.9
KOR,PR_INC_MRKT,2016,20.0
KOR,PR_INC_MRKT,2015,19.7
KOR,PR_INC_MRKT,2014,19.9
KOR,PR_INC_MRKT,2013,19.3
KOR,PR_INC_MRKT,2012,19.2
KOR,PR_INC_MRKT,2011,19.7
KOR,PR_INC_DISP,2019,16.1
KOR,PR_INC_DISP,2018,16.5
KOR,PR_INC_DISP,2017,17.0
KOR,PR_INC_DISP,2016,17.4
KOR,PR_INC_DISP,2015,17.4
KOR,PR_INC_DISP,2014,18.1
KOR,PR_INC_DISP,2013,18.2
KOR,PR_INC_DISP,2012,18.1
KOR,PR_INC_DISP,2011,18.5
KOR,PR_INC_MRKT,2023,19.9
KOR,PR_INC_MRKT,2022,20.2
KOR,PR_INC_DISP,2023,14.9
KOR,PR_INC_DISP,2022,14.9
KOR,PR_INC_DISP,2021,14.8
KOR,PR_INC_DISP,2020,15.1
KOR,PR_INC_MRKT,2021,21.1
KOR,PR_INC_MRKT,2020,21.7
JPN,PR_INC_MRKT,2021,33.6
JPN,PR_INC_DISP,2021,15.4
JPN,PR_INC_DISP,2018,15.7
ITA,PR_INC_MRKT,2019,33.2369
ITA,PR_INC_MRKT,2018,33.7142
ITA,PR_INC_MRKT,2017,33.1681
ITA,PR_INC_MRKT,2016,33.8111
ITA,PR_INC_MRKT,2015,34.9851
ITA,PR_INC_MRKT,2014,33.8019
ITA,PR_INC_MRKT,2013,33.7939
ITA,PR_INC_MRKT,2012,33.2014
ITA,PR_INC_MRKT,2011,32.2353
ITA,PR_INC_MRKT,2010,32.6543
ITA,PR_INC_DISP,2010,13.4252
ITA,PR_INC_DISP,2023,12.5562
ITA,PR_INC_DISP,2022,12.2293
ITA,PR_INC_DISP,2021,12.8019
ITA,PR_INC_DISP,2020,13.5094
ITA,PR_INC_DISP,2019,13.6431
ITA,PR_INC_DISP,2018,14.1937
ITA,PR_INC_DISP,2017,13.8664
ITA,PR_INC_DISP,2016,13.6576
ITA,PR_INC_DISP,2015,14.4406
ITA,PR_INC_MRKT,2023,33.1234
ITA,PR_INC_DISP,2014,13.714
ITA,PR_INC_DISP,2013,13.2635
ITA,PR_INC_DISP,2012,12.9929
ITA,PR_INC_DISP,2011,12.8314
ITA,PR_INC_MRKT,2022,33.5025
ITA,PR_INC_MRKT,2021,35.1501
ISR,PR_INC_DISP,2023,17.173
CRI,PR_INC_MRKT,2011,25.5144
CRI,PR_INC_MRKT,2010,25.2809
